Tarefa;Abordagem;p;Acerto;Tempo;APS;horas;APH;Minutos;APM;T1.XC.APS;T1.XD.APS;T2.XC.APS;T2.XD.APS;T3.XC.APS;T3.XD.APS;T4.XC.APS;T4.XD.APS;T5.XC.APS;T5.XD.APS;T6.XC.APS;T6.XD.APS
Task 5;XChange;p-value<0,00001;1;46;0,021739;0,012777778;78,26086957;0,766666667;1,304347826;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;133;0,007519;0,036944444;27,06766917;2,216666667;0,45112782;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;50;0,02;0,013888889;72;0,833333333;1,2;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;100;0,01;0,027777778;36;1,666666667;0,6;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;725;0,001379;0,201388889;4,965517241;12,08333333;0,082758621;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;453;0,002208;0,125833333;7,947019868;7,55;0,132450331;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;320;0,003125;0,088888889;11,25;5,333333333;0,1875;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;490;0,002041;0,136111111;7,346938776;8,166666667;0,12244898;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;213;0,004695;0,059166667;16,90140845;3,55;0,281690141;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;352;0,002841;0,097777778;10,22727273;5,866666667;0,170454545;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;64;0,015625;0,017777778;56,25;1,066666667;0,9375;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;690;0,001449;0,191666667;5,217391304;11,5;0,086956522;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;635;0,001575;0,176388889;5,669291339;10,58333333;0,094488189;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;840;0,00119;0,233333333;4,285714286;14;0,071428571;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;360;0,002778;0,1;10;6;0,166666667;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;315;0,003175;0,0875;11,42857143;5,25;0,19047619;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;480;0,002083;0,133333333;7,5;8;0,125;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;383;0,002611;0,106388889;9,399477807;6,383333333;0,156657963;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;480;0,002083;0,133333333;7,5;8;0,125;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;534;0,001873;0,148333333;6,741573034;8,9;0,112359551;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;521;0,001919;0,144722222;6,909788868;8,683333333;0,115163148;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;528;0,001894;0,146666667;6,818181818;8,8;0,113636364;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;235;0,004255;0,065277778;15,31914894;3,916666667;0,255319149;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;248;0,004032;0,068888889;14,51612903;4,133333333;0,241935484;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;278;0,003597;0,077222222;12,94964029;4,633333333;0,215827338;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;443;0,002257;0,123055556;8,126410835;7,383333333;0,135440181;;;;;;;;;;;;
Task 5;XDiff;p-value<0,00001;1;526;0,001901;0,146111111;6,844106464;8,766666667;0,114068441;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;37;0,027027;0,010277778;97,2972973;0,616666667;1,621621622;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;327;0,003058;0,090833333;11,00917431;5,45;0,183486239;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;29;0,034483;0,008055556;124,137931;0,483333333;2,068965517;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;90;0,011111;0,025;40;1,5;0,666666667;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;115;0,008696;0,031944444;31,30434783;1,916666667;0,52173913;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;225;0,004444;0,0625;16;3,75;0,266666667;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;477;0,002096;0,1325;7,547169811;7,95;0,125786164;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;24;0,041667;0,006666667;150;0,4;2,5;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;60;0,016667;0,016666667;60;1;1;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;30;0,033333;0,008333333;120;0,5;2;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;60;0,016667;0,016666667;60;1;1;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;99;0,010101;0,0275;36,36363636;1,65;0,606060606;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;88;0,011364;0,024444444;40,90909091;1,466666667;0,681818182;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;39;0,025641;0,010833333;92,30769231;0,65;1,538461538;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;15;0,066667;0,004166667;240;0,25;4;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;95;0,010526;0,026388889;37,89473684;1,583333333;0,631578947;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;24;0,041667;0,006666667;150;0,4;2,5;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;125;0,008;0,034722222;28,8;2,083333333;0,48;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;191;0,005236;0,053055556;18,84816754;3,183333333;0,314136126;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;143;0,006993;0,039722222;25,17482517;2,383333333;0,41958042;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;34;0,029412;0,009444444;105,8823529;0,566666667;1,764705882;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;101;0,009901;0,028055556;35,64356436;1,683333333;0,594059406;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;40;0,025;0,011111111;90;0,666666667;1,5;;;;;;;;;;;;
Task 6;XChange;p-value=0,00019;1;43;0,023256;0,011944444;83,72093023;0,716666667;1,395348837;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;604;0,001656;0,167777778;5,960264901;10,06666667;0,099337748;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;600;0,001667;0,166666667;6;10;0,1;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;451;0,002217;0,125277778;7,982261641;7,516666667;0,133037694;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;393;0,002545;0,109166667;9,160305344;6,55;0,152671756;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;173;0,00578;0,048055556;20,80924855;2,883333333;0,346820809;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;257;0,003891;0,071388889;14,0077821;4,283333333;0,233463035;;;;;;;;;;;;
Task 6;XDiff;p-value=0,00019;1;254;0,003937;0,070555556;14,17322835;4,233333333;0,236220472;;;;;;;;;;;;
