Tarefa;Abordagem;p;Acerto;Tempo;APS;horas;APH;Minutos;APM;T1.XC.APS;T1.XD.APS;T2.XC.APS;T2.XD.APS;T3.XC.APS;T3.XD.APS;T4.XC.APS;T4.XD.APS;T5.XC.APS;T5.XD.APS;T6.XC.APS;T6.XD.APS
Task 1;XDiff;p-value=0,6775;1;298;0,003356;0,082777778;12,08053691;4,966666667;0,201342282;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;780;0,001282;0,216666667;4,615384615;13;0,076923077;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;600;0,001667;0,166666667;6;10;0,1;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;420;0,002381;0,116666667;8,571428571;7;0,142857143;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;219;0,004566;0,060833333;16,43835616;3,65;0,273972603;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;152;0,006579;0,042222222;23,68421053;2,533333333;0,394736842;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;116;0,008621;0,032222222;31,03448276;1,933333333;0,517241379;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;126;0,007937;0,035;28,57142857;2,1;0,476190476;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;409;0,002445;0,113611111;8,80195599;6,816666667;0,146699267;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;355;0,002817;0,098611111;10,14084507;5,916666667;0,169014085;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;73;0,013699;0,020277778;49,31506849;1,216666667;0,821917808;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;189;0,005291;0,0525;19,04761905;3,15;0,317460317;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;197;0,005076;0,054722222;18,27411168;3,283333333;0,304568528;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;235;0,004255;0,065277778;15,31914894;3,916666667;0,255319149;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;188;0,005319;0,052222222;19,14893617;3,133333333;0,319148936;;;;;;;;;;;;
Task 1;XDiff;p-value=0,6775;1;281;0,003559;0,078055556;12,8113879;4,683333333;0,213523132;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;264;0,003788;0,073333333;13,63636364;4,4;0,227272727;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;333;0,003003;0,0925;10,81081081;5,55;0,18018018;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;230;0,004348;0,063888889;15,65217391;3,833333333;0,260869565;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;212;0,004717;0,058888889;16,98113208;3,533333333;0,283018868;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;178;0,005618;0,049444444;20,2247191;2,966666667;0,337078652;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;546;0,001832;0,151666667;6,593406593;9,1;0,10989011;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;1020;0,00098;0,283333333;3,529411765;17;0,058823529;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;268;0,003731;0,074444444;13,43283582;4,466666667;0,223880597;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;55;0,018182;0,015277778;65,45454545;0,916666667;1,090909091;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;357;0,002801;0,099166667;10,08403361;5,95;0,168067227;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;75;0,013333;0,020833333;48;1,25;0,8;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;920;0,001087;0,255555556;3,913043478;15,33333333;0,065217391;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;290;0,003448;0,080555556;12,4137931;4,833333333;0,206896552;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;188;0,005319;0,052222222;19,14893617;3,133333333;0,319148936;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;302;0,003311;0,083888889;11,9205298;5,033333333;0,198675497;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;157;0,006369;0,043611111;22,92993631;2,616666667;0,382165605;;;;;;;;;;;;
Task 2;XChange;p-value=0,00047;1;152;0,006579;0,042222222;23,68421053;2,533333333;0,394736842;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;418;0,002392;0,116111111;8,612440191;6,966666667;0,14354067;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;444;0,002252;0,123333333;8,108108108;7,4;0,135135135;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;674;0,001484;0,187222222;5,341246291;11,23333333;0,089020772;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;900;0,001111;0,25;4;15;0,066666667;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;355;0,002817;0,098611111;10,14084507;5,916666667;0,169014085;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;557;0,001795;0,154722222;6,463195691;9,283333333;0,107719928;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;600;0,001667;0,166666667;6;10;0,1;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;509;0,001965;0,141388889;7,072691552;8,483333333;0,117878193;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;320;0,003125;0,088888889;11,25;5,333333333;0,1875;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;919;0,001088;0,255277778;3,917301415;15,31666667;0,065288357;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;525;0,001905;0,145833333;6,857142857;8,75;0,114285714;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;585;0,001709;0,1625;6,153846154;9,75;0,102564103;;;;;;;;;;;;
Task 2;XDiff;p-value=0,00047;1;359;0,002786;0,099722222;10,02785515;5,983333333;0,167130919;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;467;0,002141;0,129722222;7,708779443;7,783333333;0,128479657;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;466;0,002146;0,129444444;7,725321888;7,766666667;0,128755365;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;341;0,002933;0,094722222;10,55718475;5,683333333;0,175953079;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;231;0,004329;0,064166667;15,58441558;3,85;0,25974026;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;396;0,002525;0,11;9,090909091;6,6;0,151515152;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;244;0,004098;0,067777778;14,75409836;4,066666667;0,245901639;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;300;0,003333;0,083333333;12;5;0,2;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;300;0,003333;0,083333333;12;5;0,2;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;353;0,002833;0,098055556;10,19830028;5,883333333;0,169971671;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;300;0,003333;0,083333333;12;5;0,2;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;177;0,00565;0,049166667;20,33898305;2,95;0,338983051;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;121;0,008264;0,033611111;29,75206612;2,016666667;0,495867769;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;224;0,004464;0,062222222;16,07142857;3,733333333;0,267857143;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;215;0,004651;0,059722222;16,74418605;3,583333333;0,279069767;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;107;0,009346;0,029722222;33,64485981;1,783333333;0,560747664;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;207;0,004831;0,0575;17,39130435;3,45;0,289855072;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;257;0,003891;0,071388889;14,0077821;4,283333333;0,233463035;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;335;0,002985;0,093055556;10,74626866;5,583333333;0,179104478;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;508;0,001969;0,141111111;7,086614173;8,466666667;0,118110236;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;157;0,006369;0,043611111;22,92993631;2,616666667;0,382165605;;;;;;;;;;;;
Task 3;XChange;p-value=0,9399;1;247;0,004049;0,068611111;14,57489879;4,116666667;0,24291498;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;203;0,004926;0,056388889;17,73399015;3,383333333;0,295566502;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;305;0,003279;0,084722222;11,80327869;5,083333333;0,196721311;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;143;0,006993;0,039722222;25,17482517;2,383333333;0,41958042;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;135;0,007407;0,0375;26,66666667;2,25;0,444444444;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;345;0,002899;0,095833333;10,43478261;5,75;0,173913043;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;152;0,006579;0,042222222;23,68421053;2,533333333;0,394736842;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;420;0,002381;0,116666667;8,571428571;7;0,142857143;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;333;0,003003;0,0925;10,81081081;5,55;0,18018018;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;204;0,004902;0,056666667;17,64705882;3,4;0,294117647;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;102;0,009804;0,028333333;35,29411765;1,7;0,588235294;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;155;0,006452;0,043055556;23,22580645;2,583333333;0,387096774;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;271;0,00369;0,075277778;13,28413284;4,516666667;0,221402214;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;251;0,003984;0,069722222;14,34262948;4,183333333;0,239043825;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;135;0,007407;0,0375;26,66666667;2,25;0,444444444;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;539;0,001855;0,149722222;6,67903525;8,983333333;0,111317254;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;112;0,008929;0,031111111;32,14285714;1,866666667;0,535714286;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;576;0,001736;0,16;6,25;9,6;0,104166667;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;101;0,009901;0,028055556;35,64356436;1,683333333;0,594059406;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;296;0,003378;0,082222222;12,16216216;4,933333333;0,202702703;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;155;0,006452;0,043055556;23,22580645;2,583333333;0,387096774;;;;;;;;;;;;
Task 3;XDiff;p-value=0,9399;1;165;0,006061;0,045833333;21,81818182;2,75;0,363636364;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;203;0,004926;0,056388889;17,73399015;3,383333333;0,295566502;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;115;0,008696;0,031944444;31,30434783;1,916666667;0,52173913;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;305;0,003279;0,084722222;11,80327869;5,083333333;0,196721311;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;143;0,006993;0,039722222;25,17482517;2,383333333;0,41958042;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;135;0,007407;0,0375;26,66666667;2,25;0,444444444;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;345;0,002899;0,095833333;10,43478261;5,75;0,173913043;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;177;0,00565;0,049166667;20,33898305;2,95;0,338983051;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;152;0,006579;0,042222222;23,68421053;2,533333333;0,394736842;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;300;0,003333;0,083333333;12;5;0,2;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;300;0,003333;0,083333333;12;5;0,2;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;420;0,002381;0,116666667;8,571428571;7;0,142857143;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;60;0,016667;0,016666667;60;1;1;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;333;0,003003;0,0925;10,81081081;5,55;0,18018018;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;360;0,002778;0,1;10;6;0,166666667;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;204;0,004902;0,056666667;17,64705882;3,4;0,294117647;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;102;0,009804;0,028333333;35,29411765;1,7;0,588235294;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;155;0,006452;0,043055556;23,22580645;2,583333333;0,387096774;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;271;0,00369;0,075277778;13,28413284;4,516666667;0,221402214;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;251;0,003984;0,069722222;14,34262948;4,183333333;0,239043825;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;491;0,002037;0,136388889;7,33197556;8,183333333;0,122199593;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;135;0,007407;0,0375;26,66666667;2,25;0,444444444;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;539;0,001855;0,149722222;6,67903525;8,983333333;0,111317254;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;112;0,008929;0,031111111;32,14285714;1,866666667;0,535714286;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;101;0,009901;0,028055556;35,64356436;1,683333333;0,594059406;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;296;0,003378;0,082222222;12,16216216;4,933333333;0,202702703;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;155;0,006452;0,043055556;23,22580645;2,583333333;0,387096774;;;;;;;;;;;;
Task 4;XChange;p-value=0,5443;1;165;0,006061;0,045833333;21,81818182;2,75;0,363636364;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;285;0,003509;0,079166667;12,63157895;4,75;0,210526316;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;453;0,002208;0,125833333;7,947019868;7,55;0,132450331;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;82;0,012195;0,022777778;43,90243902;1,366666667;0,731707317;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;306;0,003268;0,085;11,76470588;5,1;0,196078431;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;145;0,006897;0,040277778;24,82758621;2,416666667;0,413793103;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;121;0,008264;0,033611111;29,75206612;2,016666667;0,495867769;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;297;0,003367;0,0825;12,12121212;4,95;0,202020202;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;600;0,001667;0,166666667;6;10;0,1;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;300;0,003333;0,083333333;12;5;0,2;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;107;0,009346;0,029722222;33,64485981;1,783333333;0,560747664;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;290;0,003448;0,080555556;12,4137931;4,833333333;0,206896552;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;364;0,002747;0,101111111;9,89010989;6,066666667;0,164835165;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;233;0,004292;0,064722222;15,45064378;3,883333333;0,25751073;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;259;0,003861;0,071944444;13,8996139;4,316666667;0,231660232;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;86;0,011628;0,023888889;41,86046512;1,433333333;0,697674419;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;72;0,013889;0,02;50;1,2;0,833333333;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;230;0,004348;0,063888889;15,65217391;3,833333333;0,260869565;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;114;0,008772;0,031666667;31,57894737;1,9;0,526315789;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;89;0,011236;0,024722222;40,4494382;1,483333333;0,674157303;;;;;;;;;;;;
Task 4;XDiff;p-value=0,5443;1;312;0,003205;0,086666667;11,53846154;5,2;0,192307692;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;91;0,010989;0,025277778;39,56043956;1,516666667;0,659340659;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;274;0,00365;0,076111111;13,13868613;4,566666667;0,218978102;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;171;0,005848;0,0475;21,05263158;2,85;0,350877193;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;81;0,012346;0,0225;44,44444444;1,35;0,740740741;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;160;0,00625;0,044444444;22,5;2,666666667;0,375;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;126;0,007937;0,035;28,57142857;2,1;0,476190476;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;60;0,016667;0,016666667;60;1;1;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;116;0,008621;0,032222222;31,03448276;1,933333333;0,517241379;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;240;0,004167;0,066666667;15;4;0,25;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;120;0,008333;0,033333333;30;2;0,5;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;189;0,005291;0,0525;19,04761905;3,15;0,317460317;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;180;0,005556;0,05;20;3;0,333333333;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;98;0,010204;0,027222222;36,73469388;1,633333333;0,612244898;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;68;0,014706;0,018888889;52,94117647;1,133333333;0,882352941;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;28;0,035714;0,007777778;128,5714286;0,466666667;2,142857143;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;138;0,007246;0,038333333;26,08695652;2,3;0,434782609;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;72;0,013889;0,02;50;1,2;0,833333333;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;173;0,00578;0,048055556;20,80924855;2,883333333;0,346820809;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;340;0,002941;0,094444444;10,58823529;5,666666667;0,176470588;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;108;0,009259;0,03;33,33333333;1,8;0,555555556;;;;;;;;;;;;
Task 5;XChange;p-value<0,00001;1;18;0,055556;0,005;200;0,3;3,333333333;;;;;;;;;;;;
